事件ID,事件名称,字段名称,上报方,描述,备注,5.2 备注,,,,,,,,,,,,,,,
100,启动事件,参考客户端-公共字段,,设备初始化时候采集，此时无法拿到账号相关数据,必填,,,,,,,,,,,,,,,,
,,start_time,SDK,数据发生时间,必填,,,,,,,,,,,,,,,,
101,注册事件,user_id,SDK,用户ID,必填,,*注册指实名完成后，或者渠道返回登录,,,,,,,,,,,,,,
,,yoka_id,SDK,认证系统网易ID/第三方ID,必填,,,,,,,,,,,,,,,,
,,user_type,SDK,账号类型\注册方式等(微信注册、手机注册、游客登录等),必填,,,,,,,,,,,,,,,,
,,start_time,SDK,数据发生时间,必填,,,,,,,,,,,,,,,,
102,账号登录,user_id,SDK,用户ID,必填,,,,,,,,,,,,,,,,
,,yoka_id,SDK,认证系统网易ID/第三方ID,必填,,,,,,,,,,,,,,,,
,,user_type,SDK,账号类型\注册方式等(微信注册、手机注册、游客登录等),必填,,,,,,,,,,,,,,,,
,,start_time,SDK,数据发生时间,必填,,,,,,,,,,,,,,,,
103,创角事件（首次进入游戏）,user_id,SDK,用户ID,必填,,,,,,,,,,,,,,,,
,,yoka_id,SDK,认证系统网易ID/第三方ID,必填,,,,,,,,,,,,,,,,
,,user_type,SDK,账号类型\注册方式等(微信注册、手机注册、游客登录等),必填,,,,,,,,,,,,,,,,
,,role_id,研发,角色ID（同一账号不同服的角色ID不同）,必填,,,,,,,,,,,,,,,,
,,role_name,研发,角色名称,,,,,,,,,,,,,,,,,
,,server_zone,研发,游戏服务器时区,海外游戏需要，服务端回传,,,,,,,,,,,,,,,,
,,server,研发,创角区服,必填，可服务端回传,,,,,,,,,,,,,,,,
,,realserver,研发,合服后玩家角色当前区服,必填，可服务端回传,,,,,,,,,,,,,,,,
,,start_time,SDK,数据发生时间,必填,,,,,,,,,,,,,,,,
104,角色登录,user_id,SDK,用户ID,必填,,,,,,,,,,,,,,,,
,,yoka_id,SDK,认证系统网易ID/第三方ID,必填,,,,,,,,,,,,,,,,
,,user_type,SDK,账号类型\注册方式等(微信注册、手机注册、游客登录等),必填,,,,,,,,,,,,,,,,
,,role_id,研发,角色ID（同一账号不同服的角色ID不同）,必填,,,,,,,,,,,,,,,,
,,role_name,研发,角色名称,,,,,,,,,,,,,,,,,
,,user_lev,研发,角色等级,必填,,,,,,,,,,,,,,,,
,,vip_lev,研发,角色VIP等级,,,,,,,,,,,,,,,,,
,,zhanli,研发,角色战力,,,,,,,,,,,,,,,,,
,,gold1,研发,角色携带的游戏货币数量（一级货币\核心货币）,,,,,,,,,,,,,,,,,
,,gold2,研发,角色携带的游戏货币数量（二级货币）,,,,,,,,,,,,,,,,,
,,gold3,研发,角色携带的游戏货币数量（三级级货币）,,,,,,,,,,,,,,,,,
,,club_id,研发,工会ID、门派ID等,,,,,,,,,,,,,,,,,
,,server_zone,研发,游戏服务器时区,海外游戏需要，服务端回传,,,,,,,,,,,,,,,,
,,server,研发,创角区服,必填，可服务端回传,,,,,,,,,,,,,,,,
,,realserver,研发,合服后玩家角色当前区服,必填，可服务端回传,,,,,,,,,,,,,,,,
,,start_time,SDK,数据发生时间,必填,,,,,,,,,,,,,,,,
105,用户升级,user_id,SDK,用户ID,必填,,,,,,,,,,,,,,,,
,,yoka_id,SDK,认证系统网易ID/第三方ID,必填,,,,,,,,,,,,,,,,
,,user_type,SDK,账号类型\注册方式等(微信注册、手机注册、游客登录等),必填,,,,,,,,,,,,,,,,
