字段,名称,类型,是否能获取,,,,,,,,,,,,,,,,
factory,厂商,,是,,,,,,,,,,,,,,,,
app_name,app名称,,是,,,,,,,,,,,,,,,,
app_package_name,app包名,,是,,,,,,,,,,,,,,,,
app_ver,app版本,,是,,,,,,,,,,,,,,,,
app_install_time,app安装时间（单位：秒）,,是,,,,,,,,,,,,,,,,
battery,电池电量,,是,,,,,,,,,,,,,,,,
battery_state,电池充电状态,,是,,,,,,,,,,,,,,,,
boot_time,启动时间点（单位：秒）,,是,,,,,,,,,,,,,,,,
bright_ness,手机屏幕亮度,,是,,,,,,,,,,,,,,,,
country,所属国家,,可以算是（从运营商数据里面拿到可以拿到类似cn这种结果）,,,,,,,,,,,,,,,,
physical_memory_size,手机物理内存（单位：字节）,,是,,,,,,,,,,,,,,,,
available_memory_size,闪存剩余空间（单位：字节）,,是,,,,,,,,,,,,,,,,
total_disk_size,设备根目录磁盘总大小（单位：字节）,,是,,,,,,,,,,,,,,,,
used_disk_size,设备根目录磁盘使用大小（单位：字节）,,是,,,,,,,,,,,,,,,,
idfa,idfa,ios,,,,,,,,,,,,,,,,,
idfv,idfv,ios,,,,,,,,,,,,,,,,,
vpn,是否开启VPN（开：1，关：0）,,是,,,,,,,,,,,,,,,,
language,系统语言,,是,,,,,,,,,,,,,,,,
width,逻辑分辨率宽,,是,,,,,,,,,,,,,,,,
height,逻辑分辨率高,,是,,,,,,,,,,,,,,,,
scale,逻辑分辨率比例,,是,,,,,,,,,,,,,,,,
mcc,移动信号国家码（Mobile Country Code）,,是,,,,,,,,,,,,,,,,
mnc,移动网络号码（Mobile Network Code）,,是,,,,,,,,,,,,,,,,
machine,设备型号代码,,是,,,,,,,,,,,,,,,,
boot_uuid,设备启动时产生的UUID,ios,,,,,,,,,,,,,,,,,
cpu_count,CPU 核心数,,是,,,,,,,,,,,,,,,,
cpu_type,CPU 架构,,是,,,,,,,,,,,,,,,,
kern_version,内核版本,,是,,,,,,,,,,,,,,,,
osVersion,操作系统版本,,是,,,,,,,,,,,,,,,,
process_environment,进程环境,,待研究,,,,,,,,,,,,,,,,
debugger_running,判断代码是否正在被调试（是：1，否：0）,,是,,,,,,,,,,,,,,,,
dev_name,设备名称,,是,,,,,,,,,,,,,,,,
dev_model,设备类型,,是,,,,,,,,,,,,,,,,
system_name,系统名称,,是,,,,,,,,,,,,,,,,
system_version,系统版本,,是,,,,,,,,,,,,,,,,
network_type,网络类型,,是,,,,,,,,,,,,,,,,
cm_accelerometer,手机倾斜角度,,是,,,,,,,,,,,,,,,,
exist_risk_dir,高危目录列表（越狱采集）（存在：1，不存在：0）,ios,,,,,,,,,,,,,,,,,
jailbreak,是否越狱（是：1，否：0）,ios,,,,,,,,,,,,,,,,,
exist_jailbreak_files,越狱文件是否存在（存在：1，不存在：0）,ios,,,,,,,,,,,,,,,,,
sdk_version,SDK版本号,,是,,,,,,,,,,,,,,,,
collect_start_time,采集信息时系统时间戳（单位：秒）,,是,,,,,,,,,,,,,,,,
att_open,是否开启允许广告追踪（是：1，否：0）,ios,,,,,,,,,,,,,,,,,
icloud_token,iCloud令牌,ios,,,,,,,,,,,,,,,,,
dns,DNS信息,,是,,,,,,,,,,,,,,,,
ssid,SSID信息（wifi名称）,,是,,,,,,,,,,,,,,,,
bssid,BSSID信息（wifi地址）,,是,,,,,,,,,,,,,,,,
carrier_name_addr,运营商的函数,,,,,,,,,,,,,,,,,,
current_radio_access_technology_addr,网络环境的函数,,,,,,,,,,,,,,,,,,
sysctlbyname_addr,设备机型的函数,,,,,,,,,,,,,,,,,,
idfv_addr,idfv的函数,ios,,,,,,,,,,,,,,,,,
location_addr,地理位置的函数,,,,,,,,,,,,,,,,,,
location_delegate_addr,地理位置的代理函数,,,,,,,,,,,,,,,,,,
localized_model_addr,设备模型的函数,,,,,,,,,,,,,,,,,,
mcc_addr,国家代码(mcc)的函数,,,,,,,,,,,,,,,,,,
mnc_addr,设备国家地区代码的函数,,,,,,,,,,,,,,,,,,
model_addr,设备类型的函数,,,,,,,,,,,,,,,,,,
dev_name_addr,设备名称的函数,,,,,,,,,,,,,,,,,,
system_version_addr,系统版本的函数,,,,,,,,,,,,,,,,,,
cost_time,采集耗时,,是,,,,,,,,,,,,,,,,
channel,渠道ID,,是,,,,,,,,,,,,,,,,
app_id,游戏ID,,是,,,,,,,,,,,,,,,,
abt_mac,蓝牙Mac地址,,获取的值是默认值，可以获取蓝牙名称,,,,,,,,,,,,,,,,
android_id,安卓ID,android,是,,,,,,,,,,,,,,,,
xposed,进程是否有 xposed 框架,,待测试,,,,,,,,,,,,,,,,
radio_version,无线电固件的版本字符串,,是,,,,,,,,,,,,,,,,
battery_info,电池信息,,如果是电池硬件信息获取不到，只能获取电量，状态之类的,,,,,,,,,,,,,,,,
brand,手机品牌,,是,,,,,,,,,,,,,,,,
cell_info,基站信息,,是,,,,,,,,,,,,,,,,
cpu_freq,CPU频率,,是,,,,,,,,,,,,,,,,
files_path,files文件夹路径,,废弃,,,,,,,,,,,,,,,,
sim_number,sim卡唯一识别号码,,获取不了，只有系统应用能获取,,,,,,,,,,,,,,,,
imei,IMEI,android,Android10以上获取不到,,,,,,,,,,,,,,,,
imei2,IMEI2,android,Android10以上获取不到,,,,,,,,,,,,,,,,
imsi,IMSI,android,这个值原来的代码我记得能获取忽然或不不到了,,,,,,,,,,,,,,,,
input_list,输入法列表,,是（打开输入法开关才能获取，如果关闭获取不了）,,,,,,,,,,,,,,,,
wifi_mac,本机wifi网卡mac地址,,是,,,,,,,,,,,,,,,,
mock_position,模拟定位开关,,是,,,,,,,,,,,,,,,,
ostype,手机系统,,ostype,,,,,,,,,,,,,,,,
permission,权限列表,,是,,,,,,,,,,,,,,,,
process_id,进程ID,,是,,,,,,,,,,,,,,,,
process_name,进程名称,,是,,,,,,,,,,,,,,,,
proxy_info,代理信息,,待测试,,,,,,,,,,,,,,,,
sensor_info,"传感器信息，格式: ""传感器类型,传感器制造商 """,,是,,,,,,,,,,,,,,,,
virtual_check,多开检测,,用小米双开方式测试，代码实现未获取正确值,,,,,,,,,,,,,,,,
wifi_ip,wifi的ip地址,,测试能获取到值，但是不是ip的格式,,,,,,,,,,,,,,,,
prop_debug,系统调试开关,,是,,,,,,,,,,,,,,,,
prop_serialno,设备序列号：设置-关于手机-状态-序列号,,基本上获取不到，系统提供了接口，测试是空值,,,,,,,,,,,,,,,,
prop_boot_serialno,设备序列号,,同上,,,,,,,,,,,,,,,,
prop_network_type,移动网络类型,,重复了,,,,,,,,,,,,,,,,
prop_sim_state,sim卡状态,,是,,,,,,,,,,,,,,,,
prop_usb_state,系统USB状态,,我认为是usb调试模式状态，可获取，(再测试),,,,,,,,,,,,,,,,
wifi_aps,周边wifi信息列表,,是,,,,,,,,,,,,,,,,
operator,运营商编码,,是,,,,,,,,,,,,,,,,
gpu_name,GPU名称,,未找到获取方式,,,,,,,,,,,,,,,,
gpu_type,GPU型号,,未找到获取方式,,,,,,,,,,,,,,,,
opengl_version,opengl版本号,,是,,,,,,,,,,,,,,,,
physical_width,屏幕物理尺寸宽,,未找到获取方式,,,,,,,,,,,,,,,,
physical_height,屏幕物理尺寸高,,未找到获取方式,,,,,,,,,,,,,,,,
astc_support,ASTC纹理压缩格式（支持：1，不支持：0）,,找到一个方式，不确定是否准确,,,,,,,,,,,,,,,,
is_simulator,是否是模拟器（是：1，否：0）,,是,,,,,,,,,,,,,,,,
simulator_info,模拟器信息,,如果是模拟器，很多参数也是通用的（研究模拟器品牌）,,,,,,,,,,,,,,,,
client_ip,客户端请求的IP（外网IP）- 服务端获取,,,,,,,,,,,,,,,,,,
oaid,OAID,android,是,,,,,,,,,,,,,,,,
caid,CAID,ios,,,,,,,,,,,,,,,,,
caid_version,CAID版本,ios,,,,,,,,,,,,,,,,,
caid_old,老CAID,ios,,,,,,,,,,,,,,,,,
caid_old_version,老CAID版本,ios,,,,,,,,,,,,,,,,,
apps,安装列表,,是,,,,,,,,,,,,,,,,
band,基带信息(无线电版本),,重复了,,,,,,,,,,,,,,,,
cpuModel,CPU 型号,,是,,,,,,,,,,,,,,,,
cpuVendor,cpu 供应商,,是,,,,,,,,,,,,,,,,
network,手机网络连接方式(wifi/GPRS/CMDA..),,网络制式和wifi,,,,,,,,,,,,,,,,
operator,运营商编码，格式：前四位是 mnc，后两位是 mcc,,这个值和分开的mmc，mcc重复了,,,,,,,,,,,,,,,,
os,手机系统（android、ios）,,和osType重复了,,,,,,,,,,,,,,,,
sys,"系统 Build 信息,参照 sys 获取关键数据",,意义不明，这里面很多参数都是sys的一部分，不用了,,,,,,,,,,,,,,,,
gsm.sim.state,sim 卡状态,,是,,,,,,,,,,,,,,,,
manufacturer,手机制造商，例如：HUAWEI,,重复了,,,,,,,,,,,,,,,,
iccid_1,sim1卡卡号,,获取不到,,,,,,,,,,,,,,,,
iccid_2,sim2卡卡号,,获取不到,,,,,,,,,,,,,,,,
meid,移动设备识别号,,获取不到,,,,,,,,,,,,,,,,
ie,默认浏览器,,可以查到默认浏览器的包名可以对应到居具体浏览器,,,,,,,,,,,,,,,,
ie_version,默认浏览器版本,,未找到途径获取,,,,,,,,,,,,,,,,
gps_sensor,GPS传感器信息,,未找到途径获取,,,,,,,,,,,,,,,,
gravity_sensor,重力传感器信息,,,,,,,,,,,,,,,,,,
acceleration_sensor,加速度传感器信息,,,,,,,,,,,,,,,,,,
gyroscope_sensor,陀螺仪传感器信息,,,,,,,,,,,,,,,,,,
fingerprint_sensor,指纹传感器信息,,未找到途径获取,,,,,,,,,,,,,,,,
light_sensor,光传感器信息,,,,,,,,,,,,,,,,,,
magnetic_sensor,磁场传感器信息,,,,,,,,,,,,,,,,,,
distance_sensor,距离传感器信息,,,,,,,,,,,,,,,,,,
linear_acceleration_sensor,线性加速传感器信息,,,,,,,,,,,,,,,,,,
rotation_vector_sensor,旋转矢量传感器信息,,,,,,,,,,,,,,,,,,
temperature_sensor,温度传感器信息,,,,,,,,,,,,,,,,,,
turnon_time,开机时间,,是,,,,,,,,,,,,,,,,
use_times,已开机时间,,是,,,,,,,,,,,,,,,,
battery_manufacturing_time,电池生产日期,,未找到途径获取，应该是获取不到的，只有各家系统自己有途径获取,,,,,,,,,,,,,,,,
battery_first_time,电池初次使用日期,,未找到途径获取，应该是获取不到的，只有各家系统自己有途径获取,,,,,,,,,,,,,,,,
battery_use_times,电池循环计数,,目前能获取到电池放电的数据，还有平均放电的数据，计算出来的应该可以算,,,,,,,,,,,,,,,,
