currency,currency_name,,,,,,,,,,,,,,,,,,
CNY,中国人民币,,,,,,,,,,,,,,,,,,
KGS,吉尔吉斯斯坦索姆,,,,,,,,,,,,,,,,,,
YER,也门里亚尔,,,,,,,,,,,,,,,,,,
MZN,新莫桑比克梅蒂卡尔,,,,,,,,,,,,,,,,,,
NOK,挪威克朗,,,,,,,,,,,,,,,,,,
NZD,新西兰元,,,,,,,,,,,,,,,,,,
ETB,埃塞俄比亚比尔,,,,,,,,,,,,,,,,,,
GTQ,危地马拉格查尔,,,,,,,,,,,,,,,,,,
PGK,巴布亚新几内亚基那,,,,,,,,,,,,,,,,,,
PYG,巴拉圭瓜拉尼,,,,,,,,,,,,,,,,,,
NIO,尼加拉瓜科多巴,,,,,,,,,,,,,,,,,,
BZD,伯利兹美元,,,,,,,,,,,,,,,,,,
SVC,萨尔瓦多科朗,,,,,,,,,,,,,,,,,,
CHF,瑞士法郎,,,,,,,,,,,,,,,,,,
CRC,哥斯达黎加科朗,,,,,,,,,,,,,,,,,,
LBP,黎巴嫩镑,,,,,,,,,,,,,,,,,,
SEK,瑞典克朗,,,,,,,,,,,,,,,,,,
PHP,菲律宾比索,,,,,,,,,,,,,,,,,,
LRD,利比里亚元,,,,,,,,,,,,,,,,,,
TRY,土耳其里拉,,,,,,,,,,,,,,,,,,
AOA,安哥拉宽扎,,,,,,,,,,,,,,,,,,
JMD,牙买加元,,,,,,,,,,,,,,,,,,
MKD,马其顿第纳尔,,,,,,,,,,,,,,,,,,
VEF,委内瑞拉玻利瓦尔,,,,,,,,,,,,,,,,,,
HKD,港币,,,,,,,,,,,,,,,,,,
ARS,阿根廷比索,,,,,,,,,,,,,,,,,,
IRR,伊朗里亚尔,,,,,,,,,,,,,,,,,,
ISK,冰岛克朗,,,,,,,,,,,,,,,,,,
XAF,中非法郎,,,,,,,,,,,,,,,,,,
FJD,斐济元,,,,,,,,,,,,,,,,,,
DZD,阿尔及利亚第纳尔,,,,,,,,,,,,,,,,,,
THB,泰国铢,,,,,,,,,,,,,,,,,,
GYD,圭亚那元,,,,,,,,,,,,,,,,,,
MVR,马尔代夫拉菲亚,,,,,,,,,,,,,,,,,,
GBP,英镑,,,,,,,,,,,,,,,,,,
MGA,马尔加什阿里亚,,,,,,,,,,,,,,,,,,
BBD,巴巴多斯元,,,,,,,,,,,,,,,,,,
GNF,几内亚法郎,,,,,,,,,,,,,,,,,,
ALL,阿尔巴尼亚勒克,,,,,,,,,,,,,,,,,,
BHD,巴林第纳尔,,,,,,,,,,,,,,,,,,
KWD,科威特第纳尔,,,,,,,,,,,,,,,,,,
MUR,毛里求斯卢比,,,,,,,,,,,,,,,,,,
NPR,尼泊尔卢比,,,,,,,,,,,,,,,,,,
BND,文莱元,,,,,,,,,,,,,,,,,,
AUD,澳大利亚元,,,,,,,,,,,,,,,,,,
LTL,立陶宛立特,,,,,,,,,,,,,,,,,,
SBD,所罗门群岛元,,,,,,,,,,,,,,,,,,
TJS,塔吉克斯坦索莫尼,,,,,,,,,,,,,,,,,,
SZL,斯威士兰里兰吉尼,,,,,,,,,,,,,,,,,,
PEN,秘鲁新索尔,,,,,,,,,,,,,,,,,,
MXN,墨西哥比索,,,,,,,,,,,,,,,,,,
SYP,叙利亚镑,,,,,,,,,,,,,,,,,,
SLL,塞拉利昂利昂,,,,,,,,,,,,,,,,,,
SHP,圣圣赫勒拿镑,,,,,,,,,,,,,,,,,,
ZWL,津巴布韦元,,,,,,,,,,,,,,,,,,
DJF,吉布提法郎,,,,,,,,,,,,,,,,,,
ILS,以色列谢克尔,,,,,,,,,,,,,,,,,,
CZK,捷克克朗,,,,,,,,,,,,,,,,,,
BRL,巴西雷亚尔,,,,,,,,,,,,,,,,,,
BSD,巴哈马元,,,,,,,,,,,,,,,,,,
QAR,卡塔尔里亚尔,,,,,,,,,,,,,,,,,,
USD,美元,,,,,,,,,,,,,,,,,,
HRK,克罗地亚库纳,,,,,,,,,,,,,,,,,,
GHS,加纳塞地,,,,,,,,,,,,,,,,,,
KPW,朝鲜圆,,,,,,,,,,,,,,,,,,
DOP,多明尼加比索,,,,,,,,,,,,,,,,,,
KMF,科摩罗法郎,,,,,,,,,,,,,,,,,,
TZS,坦桑尼亚先令,,,,,,,,,,,,,,,,,,
OMR,阿曼里亚尔,,,,,,,,,,,,,,,,,,
IDR,印尼卢比,,,,,,,,,,,,,,,,,,
KRW,韩元,,,,,,,,,,,,,,,,,,
DKK,丹麦克朗,,,,,,,,,,,,,,,,,,
MNT,蒙古图格里克,,,,,,,,,,,,,,,,,,
XPF,太平洋法郎,,,,,,,,,,,,,,,,,,
BAM,波斯尼亚马尔卡,,,,,,,,,,,,,,,,,,
AMD,亚美尼亚德拉姆,,,,,,,,,,,,,,,,,,
LYD,利比亚第纳尔,,,,,,,,,,,,,,,,,,
PAB,巴拿马巴尔博亚,,,,,,,,,,,,,,,,,,
BGN,保加利亚列弗,,,,,,,,,,,,,,,,,,
AED,阿联酋迪拉姆,,,,,,,,,,,,,,,,,,
