字典分类,参数字段 key,枚举值 key.value,字典文本,备用枚举
基础事件  枚举类字段 枚举字典,item_consumetype,,物品产销类型,
,,item_consumetype.1,产出,
,,item_consumetype.2,消耗,
,scene,,功能场景,
,,scene.gm,gm,enum=1
,,scene.login,登录,
,,scene.creatRole,创角,enum=2
,,scene.rename,改名,
,,scene.roleLevelUp,升级,
,,scene.bag,背包系统,enum=3，【208：资源产销-Prop】scene_extension = Item.id（背包道具or出售）
,,scene.store,商店系统,enum=4，【208：资源产销-Prop】scene_extension = Goods.id
,,scene.pay,充值,enum=5，【208：资源产销-Prop】scene_extension = Pay.id
,,scene.vip,月卡特权,enum=6，【208：资源产销-Prop】scene_extension = Vip.id
,,scene.ad,广告,【208：资源产销-Prop】scene_extension = Goods.id
,,scene.mail,邮件系统,enum=7，【208：资源产销-Prop】scene_extension = Mail.id/GM
,,scene.bulletin,通知消息,【208：资源产销-Prop】scene_extension = Bulletin.id/GM
,,scene.storyMain,主线剧情,enum=8，【208：资源产销-Prop】scene_extension = Story.id
,,scene.task,任务成就,enum=9，【208：资源产销-Prop】scene_extension = Task.id
,,scene.tutorial,引导,【208：资源产销-Prop】scene_extension = Tutorial.id
,,scene.plant,种植,enum=10，【208：资源产销-Prop】scene_extension = Plant.id
,,scene.floralMake,花艺制作,enum=11，【208：资源产销-Prop】scene_extension = Formula.id
,,scene.floralSell,花艺出售,enum=12，【208：资源产销-Prop】scene_extension = Item.id（花艺物品）
,,scene.sceneOrder,顾客订单,enum=13，【208：资源产销-Prop】scene_extension = Item.id（订单物品）
,,scene.mapOrder,居民订单,enum=14，【208：资源产销-Prop】scene_extension = Item.id（订单物品）
,,scene.shipOrder,特供订单,enum=15，【208：资源产销-Prop】scene_extension = Item.id（订单物品）
,,scene.grouponOrder,组团订单,enum=16，【208：资源产销-Prop】scene_extension = Item.id（订单物品）
,,scene.sceneEvent,场景事件,enum=17，【208：资源产销-Prop】scene_extension = GameEvent.id
,,scene.social,社交系统,社交好友基础功能
,,scene.friendHire,好友雇佣,enum=18，【208：资源产销-Prop】scene_extension = 目标玩家uid
,,scene.friendPluck,好友采摘,enum=19，【208：资源产销-Prop】scene_extension = 目标玩家uid
,,scene.trade,交易系统,【208：资源产销-Prop】scene_extension = Item.id（交易物品）
,,scene.guildBuild,公会建设,enum=20
,,scene.guildPlant,公会种植,enum=21
,,scene.guildShare,公会分享,enum=22，【208：资源产销-Prop】scene_extension = Item.id（分享鲜花）
,,scene.sevenDayGift,福利-七日登录,enum=23，【208：资源产销-Prop】scene_extension = OpActGoal.id
,,scene.dailySignin,福利-每日签到,enum=24，【208：资源产销-Prop】scene_extension = OpActGoal.id
,,scene.growthRoad,福利-成长之路,enum=25，【208：资源产销-Prop】scene_extension = OpActGoal.id
,,scene.welfareChest,福利-福利宝箱,enum=26
,,scene.gacha,扭蛋,enum=28，【208：资源产销-Prop】scene_extension = Gacha.id
,,scene.opAct,运营活动,【208：资源产销-Prop】scene_extension = OpActGoal.id
,,scene.miniGame,内嵌游戏,【208：资源产销-Prop】scene_extension = game_mode
,,scene.share,被动分享,
,,scene.interactive,关系链互动,
,,scene.gift,游戏圈礼包（平台推送礼包）,【208：资源产销-Prop】scene_extension = GiftId
,,scene.cdk,CDK礼包,【208：资源产销-Prop】scene_extension = CDK
,,scene.sub$subScene,推送订阅（拼接Push.sub_scene）,
,,scene.feedSub,推荐流订阅,【208：资源产销-Prop】scene_extension = Push.sub_scene
,,scene.followAweme,关注官抖/官微,
,,scene.avatar,玩家换装,
,,scene.layout,场景布置,
,,scene.expand,场景扩建,
,,scene.roleHead,头像,
,,scene.gameFuncPreview,功能指南,【208：资源产销-Prop】scene_extension = GameFuncPreview.id
,itemType,,物品类型,
,,item_type.once,一次性物品,
,,item_type.lasting,永久性物品,
,,item_type.weekly,周时长物品,
,,item_type.monthly,月时长物品,
,,item_type.yearly,年时长物品,
,,item_type.free,免费物品,
,itemId,,物品ID,
,,itemId.$id,*详见内容ID字典,
,,,,
自定义事件  参数名称 & 枚举名称,event_name,,事件名称,
,tutorial_id,,引导编号,
,,tutorial_id.$id,*详见内容ID字典,= Tutorial.id
,tutorial_state,,引导状态,
,,tutorial_state.1,触发,"""trigger"""
,,tutorial_state.2,结束,"""end"""
,,tutorial_state.3,跳过,"""skip"""
,grow_type,,成长类型,
,,grow_type.0,玩家等级,"""player"""
,,grow_type.1,商店等级,"""store"""
,,grow_type.2,种植物等级,"""plantGrade"""
,,grow_type.3,种植物阶级,"""plantRank"""
,,grow_type.4,,*预留
,,grow_type.5,,*预留
,grow_target,,成长目标,
,,grow_target.$id,*详见内容ID字典,= Store.id/Plant.id
,unlock_type,,解锁类型,
,,unlock_type.1,功能,"""func"""
,,unlock_type.2,场景,"""scene"""
,,unlock_type.3,种植物,"""plant"""
,,unlock_type.4,花艺配方,"""formula"""
,,unlock_type.5,社交资源,"""socialRes"""
,,unlock_type.6,,*预留
,unlock_target,,成长目标,
,,unlock_target.$id,*详见内容ID字典,= GameFunc.id/Plant.id/Formula.id/SocialRes.id
,currency_id,,货币种类,
,,currency_id.$id,*详见内容ID字典,= Item.id
,act_type,,变更类型,
,,act_type.1,增加,"""add"""
,,act_type.2,减少,"""sub"""
,item_id,,物品编号,
,,item_id.$id,*详见内容ID字典,
,plant_id,,生产物ID,
,,plant_id.$id,*详见内容ID字典,= Plant.id
,operation_type,,操作类型,
,鲜花种植-20006,operation_type.601,培育-开始,
,,operation_type.602,培育-完成,
,,operation_type.603,培育-视频加速,
,,operation_type.604,培育-钻石加速,
,,operation_type.611,种植-单一,
,,operation_type.612,浇水-单一,
,,operation_type.613,收获-单一,
,,operation_type.614,铲除-单一,
,,operation_type.615,加速-单一,
,,operation_type.621,种植-批量,
,,operation_type.622,浇水-批量,
,,operation_type.623,收获-批量,
,,operation_type.624,铲除-批量,
,,operation_type.625,加速-批量道具,
,,operation_type.626,加速-批量视频,
,花艺制作-20007,operation_type.701,花艺-制作,
,,operation_type.702,,*预留
,,operation_type.703,,*预留
,花艺售卖-20008,operation_type.801,上架,
,,operation_type.802,完成结算,
,,operation_type.803,下架结算,
,经营订单-20009,operation_type.901,触发/生成,
,,operation_type.902,交付,P.S. 组团订单交付并不结算
,,operation_type.903,拒绝,"仅适用于""sceneOrder"""
,,operation_type.904,刷新,"仅适用于""shipOrder"""
,,operation_type.905,加单,"仅适用于""grouponOrder"""
,,operation_type.906,组团结算1.0,"仅适用于""grouponOrder"""
,,operation_type.907,组团结算1.2,"仅适用于""grouponOrder"""
,,operation_type.908,组团结算1.4,"仅适用于""grouponOrder"""
,,operation_type.909,组团结算1.6,"仅适用于""grouponOrder"""
,,operation_type.910,组团结算1.8,"仅适用于""grouponOrder"""
,,operation_type.911,组团结算2.0,"仅适用于""grouponOrder"""
,场景事件-20010,operation_type.1001,触发/生成,
